title,region,region_name,region_parent_name,price,property_size,bedrooms,bathrooms,furnishing,is_boost
7bdrm Duplex in Jabi Abuja for sale,"Abuja (FCT), Jabi",Jabi,Abuja (FCT),"₦ 3,000,000,000",1500.0,7,7,Semi-Furnished,vip_gold
3bdrm Block of Flats in Utako Abuja for sale,"Abuja (FCT), Utako",Utako,Abuja (FCT),"₦ 900,000,000",1000.0,3,3,Semi-Furnished,vip_gold
3bdrm Block of Flats in Jahi Abuja for sale,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),"₦ 150,000,000",1000.0,3,3,Semi-Furnished,vip_gold
5bdrm Duplex in Guzape District for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),"₦ 600,000,000",1000.0,5,5,Semi-Furnished,vip_gold
5bdrm Duplex in Life Camp Abuja for sale,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,"₦ 1,400,000,000",1250.0,5,5,Semi-Furnished,vip_gold
4bdrm Duplex in Guzape District for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),"₦ 1,500,000,000",2145.0,4,4,Semi-Furnished,vip_gold
3bdrm Apartment in Asokoro Main for sale,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),"₦ 1,600,000,000",1572.0,3,3,Semi-Furnished,vip_gold
"3bdrm Block of Flats in Sunnyvale Estate, Lokogoma for sale","Abuja (FCT), Lokogoma",Lokogoma,Abuja (FCT),"₦ 70,000,000",1000.0,3,3,Semi-Furnished,vip_gold
4bdrm Duplex in Jabi Abuja for sale,"Abuja (FCT), Jabi",Jabi,Abuja (FCT),"₦ 1,000,000,000",1500.0,4,4,Semi-Furnished,vip_gold
11bdrm Duplex in Guzape District for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),"₦ 1,500,000,000",1500.0,11,11,Semi-Furnished,vip_gold
8bdrm Duplex in Maitama Main Abuja for sale,"Abuja (FCT), Maitama",Maitama,Abuja (FCT),"₦ 4,500,000,000",2300.0,8,8,Semi-Furnished,vip_gold
Furnished 3bdrm Bungalow in Galadimawa Sunnyvale for sale,"Abuja (FCT), Galadimawa",Galadimawa,Abuja (FCT),"₦ 120,000,000",1000.0,3,3,Furnished,vip_gold
