Title,region,Region Name,region_parent_name,Price,Property Size,Bedrooms,Bathrooms,Furnishing,Is Boosted,House Type,Region Parent Name
"5bdrm Duplex in Estate, Chevron for sale","Lekki, Chevron",Chevron,Lekki,650000000.0,400.0,5,5,Semi-Furnished,enterprise,Duplex,Lagos Island
7bdrm Duplex in Golf Annex Enugu for sale,"Enugu State, Enugu",Enugu,Enugu State,260000000.0,700.0,7,7,Semi-Furnished,diamond,Duplex,Enugu State
3bdrm Block of Flats in Wuse2 Abuja for sale,"Abuja (FCT), Wuse 2",Wuse 2,Abuja (FCT),1300000000.0,1000.0,3,3,Semi-Furnished,vip_gold,Block Of Flats,Abuja (FCT)
3bdrm Apartment in Wuse2 Abuja for sale,"Abuja (FCT), Wuse 2",Wuse 2,Abuja (FCT),2000000000.0,1300.0,3,3,Semi-Furnished,vip_gold,Apartment,Abuja (FCT)
4bdrm Duplex in Katampe Extension for sale,"Abuja (FCT), Katampe",Katampe,Abuja (FCT),400000000.0,1000.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
5bdrm Duplex in Maitama Abuja for sale,"Abuja (FCT), Maitama",Maitama,Abuja (FCT),1000000000.0,500.0,5,5,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
"4bdrm Duplex in Estate, Oko-Oba for sale","Agege, Oko-Oba",Oko-Oba,Agege,380000000.0,300.0,4,4,Semi-Furnished,enterprise,Duplex,Lagos Mainland
5bdrm Duplex in Jahi Abuja for sale,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),270000000.0,500.0,5,5,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
4bdrm Duplex in Apo Abuja for sale,"Abuja (FCT), Apo District",Apo District,Abuja (FCT),230000000.0,500.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
4bdrm Duplex in Dape for sale,"Gwarinpa, Dape",Dape,Gwarinpa,460000000.0,920.0,4,5,Unfurnished,enterprise,Duplex,Abuja (FCT)
4bdrm Duplex in Maitama Abuja for sale,"Abuja (FCT), Maitama",Maitama,Abuja (FCT),550000000.0,1000.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
4bdrm Duplex in Wuse2 Abuja for sale,"Abuja (FCT), Wuse 2",Wuse 2,Abuja (FCT),450000000.0,1000.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
4bdrm Duplex in Galadimawa District for sale,"Abuja (FCT), Galadimawa",Galadimawa,Abuja (FCT),750000000.0,1000.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
2bdrm Apartment in Area 1 Abuja for sale,"Garki 1, Area 1",Area 1,Garki 1,900000000.0,1000.0,2,2,Semi-Furnished,vip_gold,Apartment,Abuja (FCT)
4bdrm Duplex in Asokoro Abuja for sale,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),700000000.0,700.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
5bdrm Duplex in Guzape District for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),680000000.0,1000.0,5,5,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
"Furnished 3bdrm Block of Flats in Secured Estate, Adeniyi Jones","Ikeja, Adeniyi Jones",Adeniyi Jones,Ikeja,280000000.0,600.0,3,3,Furnished,enterprise,Block Of Flats,Lagos Mainland
"4bdrm Duplex in Secured Area, Oko-Oba for sale","Agege, Oko-Oba",Oko-Oba,Agege,299000000.0,280.0,4,4,Semi-Furnished,enterprise,Duplex,Lagos Mainland
4bdrm Duplex in Apo Abuja for sale,"Abuja (FCT), Apo District",Apo District,Abuja (FCT),125000000.0,500.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
3bdrm Apartment in Wuye Abuja for sale,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),145000000.0,1000.0,3,3,Semi-Furnished,vip_gold,Apartment,Abuja (FCT)
"5bdrm Duplex in Mabushi Abuja, Wuye for sale","Abuja (FCT), Wuye",Wuye,Abuja (FCT),270000000.0,1000.0,5,5,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
4bdrm Duplex in Mabushi Abuja for sale,"Abuja (FCT), Mabushi",Mabushi,Abuja (FCT),350000000.0,1000.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
